url,tweet_ids,author_ids,author_usernames,created_ats,url_title,tweet_count
https://twitter.com/cobie/status/1517342327186268160/photo/1,"[1517342327186268160, 1517342327186268160]","[2259434528, 2259434528]","['cobie', 'cobie']","['2022-04-22T03:19:36+00:00', '2022-04-22T03:19:36+00:00']",,2
https://twitter.com/dougfeagin/status/1516821417513213954,"[1516823103136886785, 1516825158010359809]","[804029200315334656, 44322763]","['gakonst', 'matthuang']","['2022-04-20T16:56:23+00:00', '2022-04-20T17:04:33+00:00']",,2
https://twitter.com/zachxbt/status/1517223430785060865/photo/1,"[1517223430785060865, 1517223430785060865]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-21T19:27:09+00:00', '2022-04-21T19:27:09+00:00']",,2
https://twitter.com/BlockchainAssn/status/1517637109368164358,"[1517639370014134273, 1517638364165509122]","[2363290915, 47003920]","['Melt_Dem', 'jchervinsky']","['2022-04-22T22:59:56+00:00', '2022-04-22T22:55:57+00:00']",,2
https://twitter.com/zachxbt/status/1517177581711335425/photo/1,"[1517177581711335425, 1517177581711335425]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-21T16:24:57+00:00', '2022-04-21T16:24:57+00:00']",,2
https://twitter.com/zachxbt/status/1517177562723762177/photo/1,"[1517177562723762177, 1517177562723762177]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-21T16:24:53+00:00', '2022-04-21T16:24:53+00:00']",,2
https://twitter.com/zachxbt/status/1516499182219153408/photo/1,"[1516499182219153408, 1516499182219153408]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-19T19:29:14+00:00', '2022-04-19T19:29:14+00:00']",,2
https://twitter.com/zhusu/status/1517476796501229575/photo/1,"[1517476796501229575, 1517476796501229575]","[79714172, 79714172]","['zhusu', 'zhusu']","['2022-04-22T12:13:56+00:00', '2022-04-22T12:13:56+00:00']",,2
https://twitter.com/zachxbt/status/1516499168193396747/photo/1,"[1516499168193396747, 1516499168193396747]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-19T19:29:11+00:00', '2022-04-19T19:29:11+00:00']",,2
https://twitter.com/zachxbt/status/1516070245487763457,"[1516090983498358788, 1516089739878744066]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-18T16:27:12+00:00', '2022-04-18T16:22:16+00:00']",,2
https://twitter.com/zachxbt/status/1516070228085587972/photo/1,"[1516070228085587972, 1516070228085587972]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-18T15:04:44+00:00', '2022-04-18T15:04:44+00:00']",,2
https://twitter.com/Nican/status/1515778156950552576,"[1517807527337283585, 1517805157073178624]","[1978953986, 1978953986]","['DegenSpartan', 'DegenSpartan']","['2022-04-23T10:08:08+00:00', '2022-04-23T09:58:43+00:00']",,2
https://twitter.com/NeerajKA/status/1516568972325527553/photo/1,"[1516568972325527553, 1516568972325527553]","[14710235, 14710235]","['NeerajKA', 'NeerajKA']","['2022-04-20T00:06:34+00:00', '2022-04-20T00:06:34+00:00']",,2
https://twitter.com/zachxbt/status/1516427909765947397/photo/1,"[1516427909765947397, 1516427909765947397]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-19T14:46:02+00:00', '2022-04-19T14:46:02+00:00']",,2
https://ethereumnodes.com/,"[1517524734338125830, 1517518784738770947]","[956670268596015105, 956670268596015105]","['iamDCinvestor', 'iamDCinvestor']","['2022-04-22T15:24:25+00:00', '2022-04-22T15:00:47+00:00']",Ethereum Nodes,2
https://buff.ly/3K8KkEx,"[1517611787641925634, 1517254108113260544]","[26377478, 26377478]","['laurashin', 'laurashin']","['2022-04-22T21:10:20+00:00', '2022-04-21T21:29:03+00:00']",The Chopping Block: How to Improve DeFi and Cross-Chain Bridge Security - Unchained Podcast,2
https://buff.ly/3EF9WIo,"[1517549876455878656, 1517499976674381826]","[26377478, 26377478]","['laurashin', 'laurashin']","['2022-04-22T17:04:19+00:00', '2022-04-22T13:46:02+00:00']",Why the SEC’s Proposed Rules Affecting DeFi Could Violate the First Amendment,2
https://etherscan.io/txs?a=0xf44193629e3d1d175e6403e1f3b14d8ad05a189c,"[1515436912907104265, 1515429514112901131]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-16T21:08:10+00:00', '2022-04-16T20:38:46+00:00']",,2
https://twitter.com/zachxbt/status/1516092448967122948,"[1516092609554526208, 1516092488179666946]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-18T16:33:40+00:00', '2022-04-18T16:33:11+00:00']",,2
https://twitter.com/zachxbt/status/1515436912907104265/photo/1,"[1515436912907104265, 1515436912907104265]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-16T21:08:10+00:00', '2022-04-16T21:08:10+00:00']",,2
https://youtu.be/4VMQxnLyjig,"[1517232526603046913, 1517131011984961545]","[14710235, 14710235]","['NeerajKA', 'NeerajKA']","['2022-04-21T20:03:17+00:00', '2022-04-21T13:19:54+00:00']",How Bitcoin Mines Were Airlifted From China to the US | CRYPTOLAND Episode 7 - YouTube,2
https://twitter.com/zachxbt/status/1516070196171231234/photo/1,"[1516070196171231234, 1516070196171231234]","[3012852462, 3012852462]","['zachxbt', 'zachxbt']","['2022-04-18T15:04:36+00:00', '2022-04-18T15:04:36+00:00']",,2
https://twitter.com/tarunchitra/status/1517507474214977536/photo/1,[1517507474214977536],[53836928],['tarunchitra'],['2022-04-22T14:15:50+00:00'],,1
https://twitter.com/tarunchitra/status/1516457484990492683/photo/1,[1516457484990492683],[53836928],['tarunchitra'],['2022-04-19T16:43:33+00:00'],,1
https://twitter.com/zachxbt/status/1515385768822333441/photo/1,[1515385768822333441],[3012852462],['zachxbt'],['2022-04-16T17:44:56+00:00'],,1
https://twitter.com/tayvano_/status/1516225464741740547,[1516421250154913794],[19748227],['tayvano_'],['2022-04-19T14:19:34+00:00'],,1
https://twitter.com/tayvano_/status/1516449994852614145/photo/1,[1516449994852614145],[19748227],['tayvano_'],['2022-04-19T16:13:47+00:00'],,1
https://twitter.com/zachxbt/status/1489223368637390850,[1515461785092042752],[3012852462],['zachxbt'],['2022-04-16T22:47:00+00:00'],,1
https://twitter.com/tarunchitra/status/1516967307335057409/photo/1,[1516967307335057409],[53836928],['tarunchitra'],['2022-04-21T02:29:24+00:00'],,1
https://twitter.com/stumoonarte/status/1516855872017682434,[1517126228955865088],[2363290915],['Melt_Dem'],['2022-04-21T13:00:54+00:00'],,1
https://twitter.com/tarunchitra/status/1516433197269237767/photo/1,[1516433197269237767],[53836928],['tarunchitra'],['2022-04-19T15:07:02+00:00'],,1
https://twitter.com/tarunchitra/status/1516432028698300430/photo/1,[1516432028698300430],[53836928],['tarunchitra'],['2022-04-19T15:02:24+00:00'],,1
https://twitter.com/zachxbt/status/1515387158680555527/photo/1,[1515387158680555527],[3012852462],['zachxbt'],['2022-04-16T17:50:27+00:00'],,1
https://twitter.com/zachxbt/status/1515387882902597644/photo/1,[1515387882902597644],[3012852462],['zachxbt'],['2022-04-16T17:53:20+00:00'],,1
https://twitter.com/zachxbt/status/1515388693657407492/photo/1,[1515388693657407492],[3012852462],['zachxbt'],['2022-04-16T17:56:33+00:00'],,1
https://twitter.com/stonecoldpat0/status/1516536666038718465,[1516730930370646016],[566534886],['hasufl'],['2022-04-20T10:50:07+00:00'],,1
https://twitter.com/statelayer/status/1448364425258340359,[1515452924696141839],[3012852462],['zachxbt'],['2022-04-16T22:11:47+00:00'],,1
https://twitter.com/zachxbt/status/1515429514112901131/photo/1,[1515429514112901131],[3012852462],['zachxbt'],['2022-04-16T20:38:46+00:00'],,1
https://twitter.com/stablekwon/status/1517319642318274560,[1517326242219192320],[2363290915],['Melt_Dem'],['2022-04-22T02:15:41+00:00'],,1
https://twitter.com/spencernoon/status/1517617622224977927/photo/1,[1517617622224977927],[1527806202],['spencernoon'],['2022-04-22T21:33:31+00:00'],,1
https://twitter.com/spencernoon/status/1517263022728826886/photo/1,[1517263022728826886],[1527806202],['spencernoon'],['2022-04-21T22:04:28+00:00'],,1
https://twitter.com/spencernoon/status/1517170695373008898/photo/1,[1517170695373008898],[1527806202],['spencernoon'],['2022-04-21T15:57:36+00:00'],,1
https://twitter.com/spencernoon/status/1516919160642674689/photo/1,[1516919160642674689],[1527806202],['spencernoon'],['2022-04-20T23:18:05+00:00'],,1
https://twitter.com/tayvano_/status/1516627734276890627/photo/1,[1516627734276890627],[19748227],['tayvano_'],['2022-04-20T04:00:04+00:00'],,1
https://twitter.com/tayvano_/status/1516812879504166913/photo/1,[1516812879504166913],[19748227],['tayvano_'],['2022-04-20T16:15:46+00:00'],,1
https://twitter.com/tayvano_/status/1516637193711677444/photo/1,[1516637193711677444],[19748227],['tayvano_'],['2022-04-20T04:37:39+00:00'],,1
