id,username,score
14589051,kohkim,0.0
1503394706050678786,kris_hk,0.0
534493783,krugermacro,24.0
2368769642,krzKaczor,0.0
173715519,kukulabanze,32.0
1180713598093422592,Kurt_M_Barry,0.0
46332443,KyleSamani,30.0
1056278215235436544,L0GYKAL,0.0
416161639,La__Cuen,44.0
26377478,laurashin,56.0
16709601,lawmaster,44.0
14111891,lay2000lbs,0.0
48093881,leashless,18.0
897142437344419842,ledgerstatus,36.0
2190759643,lemiscate,24.0
954015928924057601,lex_node,12.0
134411372,licuende,32.0
190634593,litocoen,12.0
774642558853009408,ljin18,50.0
520770492,ljxie,0.0
57584739,lmrankhan,0.0
2337760488,loi_luu,12.0
2603525726,loomdart,36.0
23618940,lopp,56.0
42264438,LordTylerWard,12.0
95308902,lrettig,12.0
2889538156,lsukernik,0.0
823766058909761536,LynAldenContact,56.0
713094195955830785,m1guelpf,12.0
2187170989,Mable_Jiang,12.0
1462816568115671046,MadmanMidnight,0.0
259028293,magdalenakala,18.0
1440171358411890697,mai_on_chain,0.0
27134030,MariaShen,12.0
137126152,MarkBeylin,0.0
26826812,martinkrung,0.0
969656108485890048,MartinLundfall,0.0
2430765828,masonic_tweets,0.0
1279369220,masonnystrom,18.0
705433993550946304,mathisgrosjean,0.0
44322763,matthuang,44.0
533318860,MattSlater,0.0
14206218,mattysino,24.0
787097654530498560,maurelian_,0.0
731705267742642177,max_bronstein,12.0
5686612,mayazi,0.0
7184612,mdudas,24.0
1095884150169571328,mediodelphi,0.0
2363290915,Melt_Dem,56.0
1261412735499112448,mewn21,24.0
607,mg,38.0
16179805,mhluongo,0.0
146345384,mhonkasalo,0.0
804843150,MihailoBjelic,38.0
14253911,mikedemarais,18.0
92281665,mikejcasey,38.0
1226309266715234305,MonetSupply,12.0
50703014,moo9000,0.0
969283042689863681,MPtherealmvp,0.0
174981490,mrjasonchoi,24.0
2178858974,msantoriESQ,24.0
122360573,Mudit__Gupta,18.0
14110443,muneeb,44.0
1436258888,musalbas,12.0
844304603336232960,MustStopMurad,24.0
162605310,mZargham,0.0
1287487599691456512,n2ckchong,18.0
47054272,NadavAHollander,0.0
59598920,nadertheory,0.0
789299,nanexcool,24.0
238746075,nasdaily,0.0
51601634,natechastain,18.0
14710235,NeerajKA,24.0
722,neha,24.0
420308365,nic__carter,56.0
21526988,nichanank,0.0
34592834,nicksdjohnson,24.0
16975237,niemerg,0.0
87745415,nikil,0.0
14521044,nlw,44.0
245203178,nnnnicholas,0.0
1047345688961380353,no89thkey,0.0
1017917083827482624,NoahZinsmeister,0.0
218967518,nocturnalsheet,0.0
569183068,NodarJ,0.0
1297851088456921088,NomiChef,12.0
2631709828,notsofast,36.0
247268566,NourHaridy,12.0
27557141,NTmoney,44.0
